調査年,地域,A1801_人口集中地区人口【人】,A1802_人口集中地区面積【ｋｍ2】,C620114_付加価値額（民営）（金融業、保険業）【百万円】
2015年度,埼玉県 春日部市,"205,554",24.06,"18,293"
2015年度,埼玉県 狭山市,"130,086",22.01,"5,775"
2015年度,埼玉県 羽生市,"20,399",4.17,"2,132"
2015年度,埼玉県 鴻巣市,"86,048",13.02,"3,775"
2015年度,埼玉県 深谷市,"66,775",13.46,"6,020"
2015年度,埼玉県 上尾市,"202,848",25.44,X
2015年度,埼玉県 草加市,"244,784",25.07,"13,838"
2015年度,埼玉県 越谷市,"304,711",32.62,"31,871"
2015年度,埼玉県 蕨市,"72,260",5.11,"5,374"
2015年度,埼玉県 戸田市,"136,109",13.33,"29,370"
2015年度,埼玉県 入間市,"124,151",15.62,"6,751"
2015年度,埼玉県 朝霞市,"133,556",12,"7,080"
